# BEGIN PLOT
CustomLegend=$\mathbf{p_\perp^h>100\;\text{GeV}}$
DrawOnly=powheg madgraph sherpa herwig 
Legend=1
LegendXPos=0.45
LegendYPos=0.6
LogX=1
LogY=1
PlotSize=10,8
RatioPlot=0
RatioPlot1=1
RatioPlot1DrawOnly=powheg madgraph sherpa herwig hej
RatioPlot1Reference=powheg
RatioPlot1SameStyle=1
RatioPlot1YLabel=Ratio to \texttt{Powheg}
RatioPlot1YMajorTickMarks=5
RatioPlot1YMax=1.9999
RatioPlot1YMin=0.0001
RatioPlot1YSize=4
RatioPlot2=0
RatioPlot2DrawOnly=hqt nnlo-hj nnlo-h powheg gosam-h1j-nlo gosam-h1j-loopsim gosam-h2j-nlo gosam-h2j-loopsim gosam-h3j-nlo 
RatioPlot2Reference=powheg
RatioPlot2SameStyle=1
RatioPlot2YLabel=Ratio to \texttt{Powheg}
RatioPlot2YMajorTickMarks=5
RatioPlot2YMax=1.9999
RatioPlot2YMin=0.0001
RatioPlot2YSize=4
RatioPlotReference=/home/marek/work/LH15/Sherpa-GoSamComparison/PowhegNNLOPS/PowhegNNLOPS_Pythia8_M1250_MMHT14_13TeV_envelope.yoda/MC_HJETS_LH15/xs_jet_veto_h_100
Title=Jet veto cross section
XLabel=$p_\perp^\text{veto}$ [GeV]
XTwosidedTicks=1
YLabel=$\sigma(p_\perp^\text{veto})$ [pb]
YTwosidedTicks=1
# END PLOT

# BEGIN HISTOGRAM /home/marek/work/LH15/Sherpa-GoSamComparison/PowhegNNLOPS/PowhegNNLOPS_Pythia8_M1250_MMHT14_13TeV_envelope.yoda/MC_HJETS_LH15/xs_jet_veto_h_100
ErrorBandColor=black!30!white
ErrorBandOpacity=0.1
ErrorBandStyle=hlines
ErrorBands=1
ErrorTubeLineColor=black!40!white
ErrorTubes=1
LineColor=black
LineStyle=solid
LineWidth=1.5pt
Name=powheg
Path=/home/marek/work/LH15/Sherpa-GoSamComparison/PowhegNNLOPS/PowhegNNLOPS_Pythia8_M1250_MMHT14_13TeV_envelope.yoda/MC_HJETS_LH15/xs_jet_veto_h_100
Scale=438.596491228
Title=\texttt{Powheg} \textsc{NnloPs}
# xlow	 xhigh	 val	 errminus	 errplus
3.235937e+00	3.311311e+00	5.405574e-05	1.011852e-05	1.077226e-05
3.311311e+00	3.388441e+00	5.715580e-05	1.072055e-05	1.146855e-05
3.388443e+00	3.467370e+00	6.014321e-05	1.123558e-05	1.203328e-05
3.467369e+00	3.548135e+00	6.253157e-05	1.168765e-05	1.247662e-05
3.548134e+00	3.630780e+00	6.700334e-05	1.248827e-05	1.324676e-05
3.630781e+00	3.715353e+00	7.159751e-05	1.333646e-05	1.401153e-05
3.715352e+00	3.801894e+00	7.609209e-05	1.415341e-05	1.490363e-05
3.801894e+00	3.890451e+00	8.125170e-05	1.513554e-05	1.602457e-05
3.890451e+00	3.981071e+00	8.690643e-05	1.621698e-05	1.733671e-05
3.981072e+00	4.073803e+00	9.173170e-05	1.710864e-05	1.829332e-05
4.073803e+00	4.168694e+00	9.728253e-05	1.814772e-05	1.935487e-05
4.168693e+00	4.265795e+00	1.031072e-04	1.924937e-05	2.063769e-05
4.265795e+00	4.365158e+00	1.101899e-04	2.058262e-05	2.177632e-05
4.365158e+00	4.466836e+00	1.160736e-04	2.170013e-05	2.296692e-05
4.466836e+00	4.570882e+00	1.238043e-04	2.314640e-05	2.461142e-05
4.570881e+00	4.677351e+00	1.317446e-04	2.466690e-05	2.631076e-05
4.677351e+00	4.786301e+00	1.397380e-04	2.620780e-05	2.817650e-05
4.786301e+00	4.897788e+00	1.487506e-04	2.791626e-05	3.005068e-05
4.897788e+00	5.011872e+00	1.569267e-04	2.942902e-05	3.151257e-05
5.011872e+00	5.128614e+00	1.661138e-04	3.105429e-05	3.292029e-05
5.128614e+00	5.248074e+00	1.753549e-04	3.277974e-05	3.476331e-05
5.248076e+00	5.370318e+00	1.856414e-04	3.470325e-05	3.707386e-05
5.370318e+00	5.495408e+00	1.972512e-04	3.691936e-05	3.927453e-05
5.495409e+00	5.623413e+00	2.085797e-04	3.900714e-05	4.140910e-05
5.623413e+00	5.754399e+00	2.205511e-04	4.109798e-05	4.353954e-05
5.754399e+00	5.888437e+00	2.335471e-04	4.352519e-05	4.652225e-05
5.888437e+00	6.025596e+00	2.456860e-04	4.594186e-05	4.939012e-05
6.025596e+00	6.165950e+00	2.593424e-04	4.845932e-05	5.197151e-05
